uri,prefLabel,altLabel
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-4-0,CC BY 4.0,Attribution 4.0 International (CC BY 4.0)
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-nc-4-0,CC BY-NC 4.0,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-nc-nd-4-0,CC BY-NC-ND 4.0,Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-nc-sa-3-0-at,CC BY-NC-SA 3.0 AT,Attribution-NonCommercial-ShareAlike 3.0 Austria (CC BY-NC-SA 3.0 AT)
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-nc-sa-4-0,CC BY-NC-SA 4.0,Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-nd-4-0,CC BY-ND 4.0,Attribution-NoDerivatives 4.0 International (CC BY-ND 4.0)
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-sa-4-0,CC BY-SA 4.0,Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc0-1-0,CC0 1.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
https://vocabs.acdh.oeaw.ac.at/archelicenses/cne,CNE,Copyright Not Evaluated
https://vocabs.acdh.oeaw.ac.at/archelicenses/inc,InC,In Copyright
https://vocabs.acdh.oeaw.ac.at/archelicenses/inc-edu,InC-EDU,In Copyright - Educational Use Permitted
https://vocabs.acdh.oeaw.ac.at/archelicenses/inc-ow-eu,InC-OW-EU,In Copyright - EU Orphan Work
https://vocabs.acdh.oeaw.ac.at/archelicenses/mit,MIT,MIT license
https://vocabs.acdh.oeaw.ac.at/archelicenses/nkc,NKC,No Known Copyright
https://vocabs.acdh.oeaw.ac.at/archelicenses/noc-cr,NoC-CR,No Copyright - Contractual Restrictions
https://vocabs.acdh.oeaw.ac.at/archelicenses/noc-nc,NoC-NC,No Copyright - Non-Commercial Use Only
https://vocabs.acdh.oeaw.ac.at/archelicenses/noc-oklr,NoC-OKLR,No Copyright - Other Known Legal Restrictions
https://vocabs.acdh.oeaw.ac.at/archelicenses/publicdomain-1-0,Public Domain Mark 1.0,None
https://vocabs.acdh.oeaw.ac.at/archelicenses/und,UND,Copyright Undetermined
