uri,prefLabel,altLabel,exactMatch,closeMatch,Notes,Rights statements
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-4-0,CC BY 4.0,Attribution 4.0 International (CC BY 4.0),https://spdx.org/licenses/CC-BY-4.0,,,
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-nc-4-0,CC BY-NC 4.0,Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),https://spdx.org/licenses/CC-BY-NC-4.0,,,
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-nc-nd-4-0,CC BY-NC-ND 4.0,Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0),https://spdx.org/licenses/CC-BY-NC-ND-4.0,,,
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-nc-sa-3-0-at,CC BY-NC-SA 3.0 AT,Attribution-NonCommercial-ShareAlike 3.0 Austria (CC BY-NC-SA 3.0 AT),,https://spdx.org/licenses/CC-BY-NC-SA-3.0.html,"There are identifiers only for Unported, Germany, and IGO",
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-nc-sa-4-0,CC BY-NC-SA 4.0,Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0),https://spdx.org/licenses/CC-BY-NC-SA-4.0,,,
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-nd-4-0,CC BY-ND 4.0,Attribution-NoDerivatives 4.0 International (CC BY-ND 4.0),https://spdx.org/licenses/CC-BY-ND-4.0,,,
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-sa-4-0,CC BY-SA 4.0,Attribution-ShareAlike 4.0 International (CC BY-SA 4.0),https://spdx.org/licenses/CC-BY-SA-4.0,,,
https://vocabs.acdh.oeaw.ac.at/archelicenses/cc0-1-0,CC0 1.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://spdx.org/licenses/CC0-1.0,,"There is also CC-PDM-1.0 (https://spdx.org/licenses/CC-PDM-1.0.html), but I guess the right one is CC0-1.0",
https://vocabs.acdh.oeaw.ac.at/archelicenses/cne,CNE,Copyright Not Evaluated,,,Seems like licenses related to copyright are not listed in SPDX,Present
https://vocabs.acdh.oeaw.ac.at/archelicenses/inc,InC,In Copyright,,,Seems like licenses related to copyright are not listed in SPDX,Present
https://vocabs.acdh.oeaw.ac.at/archelicenses/inc-edu,InC-EDU,In Copyright - Educational Use Permitted,,,Seems like licenses related to copyright are not listed in SPDX,Present
https://vocabs.acdh.oeaw.ac.at/archelicenses/inc-ow-eu,InC-OW-EU,In Copyright - EU Orphan Work,,,Seems like licenses related to copyright are not listed in SPDX,Present
https://vocabs.acdh.oeaw.ac.at/archelicenses/mit,MIT,MIT license,https://spdx.org/licenses/MIT,,,
https://vocabs.acdh.oeaw.ac.at/archelicenses/nkc,NKC,No Known Copyright,,,,Present
https://vocabs.acdh.oeaw.ac.at/archelicenses/noc-cr,NoC-CR,No Copyright - Contractual Restrictions,,,,Present
https://vocabs.acdh.oeaw.ac.at/archelicenses/noc-nc,NoC-NC,No Copyright - Non-Commercial Use Only,,,,Present
https://vocabs.acdh.oeaw.ac.at/archelicenses/noc-oklr,NoC-OKLR,No Copyright - Other Known Legal Restrictions,,,,Present
https://vocabs.acdh.oeaw.ac.at/archelicenses/publicdomain-1-0,Public Domain Mark 1.0,None,https://spdx.org/licenses/CC-PDM-1.0,,The match is actually the Creative Commons license for Public Domain. Is it ok?,
https://vocabs.acdh.oeaw.ac.at/archelicenses/und,UND,Copyright Undetermined,,,,Present
